# Common elements
"You may not change your administrative status.";"You may not change your administrative status."
"Add User";"Add User"
"User added.";"User added"
"Unable to add user.";"Unable to add user."
"You may not delete your user account.";"You may not delete your user account."
"Unable to delete user.";"Unable to delete user."
"This form will locally delete the user %s, but will not remove it's SoftLayer user record. Click the \"Submit\" button below to delete this user.";"This form will locally delete the user %s, but will not remove it's SoftLayer user record. Click the \"Submit\" button below to delete this user."
"CSS";"CSS"
"Skins";"Skins"
"Add Skin";"Add Skin"
"base skin";"base skin"
"The skin's name.";"The skin's name."
"Create a copy of an existing skin.";"Create a copy of an existing skin."
"Skin added.";"Skin added"
"Unable to add skin.";"Unable to add skin."
"new logo";"new logo"
"Please upload a PNG image.";"Please upload a PNG image."
"This form will delete the skin \"%s\"! Click the \"Submit\" button below to delete this skin.";"This form will delete the skin \"%s\"! Click the \"Submit\" button below to delete this skin."
"Unable to locate skin.";"Unable to locate skin."
"You may not delete the default system skin.";"You may not delete the default system skin."
"Unable to delete skin.";"Unable to delete skin."
"Unable to save skin.";"Unable to save skin."
"Skin saved.";"Skin saved."
"Languages";"Languages"
"Add Lanuage";"Add Language"
"base language";"base language"
"The language's name.";"The language's name."
"Create a copy of an existing language.";"Create a copy of an existing language."
"Language added";"Language added"
"Unable to add language.";"Unable to add language."
"You may not delete the default system language.";"You may not delete the default system language."
"Unable to delete language.";"Unable to delete language."
"Language saved.";"Language saved."
"Unable to save language.";"Unable to save language."
